"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",24.2,"medium",7.1,"wild"
"Aves",11.2,"medium",8,"wild"
"Aves",18.3,"small",NA,"unknown"
"Aves",10.9,"medium",11.2,"wild"
"Aves",11.5,"medium",9.8,"wild"
"Aves",11.8,"medium",11.8,"wild"
"Aves",12.3,"large",16.9,"wild"
"Aves",15.9,"medium",17,"wild"
"Aves",24.2,"medium",10.6,"wild"
"Aves",13.2,"medium",10.8,"wild"
"Aves",11,"medium",8.9,"wild"
"Aves",9,"medium",7.9,"wild"
"Aves",8.6,"medium",11.1,"wild"
"Aves",5.3,"small",9.1,"wild"
"Aves",37.5,"medium",10.1,"wild"
"Aves",33.5,"medium",8,"wild"
"Aves",42.9,"medium",11.6,"wild"
"Aves",26.9,"medium",6,"wild"
"Aves",35.6,"small",NA,"unknown"
"Aves",33,"small",8.2,"wild"
"Aves",41.525,"small",7.8,"wild"
"Aves",30,"medium",8.2,"wild"
"Aves",54.5,"medium",13.5,"wild"
"Aves",28.35,"medium",6,"wild"
"Aves",26.65,"medium",5,"wild"
"Aves",42,"medium",4.8,"wild"
"Aves",41.8,"large",10.2,"wild"
"Aves",115.133,"small",9,"wild"
"Aves",58.5,"small",6.2,"wild"
"Aves",29.45,"small",4.8,"wild"
"Aves",25.5,"small",3.1,"wild"
"Aves",42.6,"medium",28.5,"unknown"
"Aves",35.2,"tiny",NA,"unknown"
"Aves",15.7,"medium",10.8,"wild"
"Aves",15.15,"small",9.9,"wild"
"Aves",28.4,"tiny",10.2,"wild"
"Aves",14.75,"medium",12,"unknown"
"Aves",15,"medium",11,"wild"
"Aves",47.325,"medium",24,"unknown"
"Aves",42,"small",25,"captivity"
"Aves",30,"medium",15.3,"unknown"
"Aves",29,"medium",11.9,"wild"
"Aves",40,"small",7.9,"wild"
"Aves",33,"medium",4.8,"wild"
"Aves",8.4,"small",NA,"unknown"
"Aves",8.2,"tiny",NA,"unknown"
"Aves",9.1,"medium",8.2,"wild"
"Aves",13.3,"medium",9.3,"wild"
"Aves",61.7,"large",10.6,"wild"
"Aves",50.2,"medium",8.1,"wild"
"Aves",7.325,"small",3.6,"wild"
"Aves",21.7,"small",NA,"unknown"
"Aves",23.3,"small",8.2,"wild"
"Aves",29.4,"large",13.9,"wild"
"Aves",364,"medium",17.6,"wild"
"Aves",132,"small",25,"captivity"
"Aves",88.7,"medium",15.8,"wild"
"Aves",78.7,"medium",15,"wild"
"Aves",114,"medium",15.3,"wild"
"Aves",130,"medium",25,"captivity"
"Aves",246,"medium",20.3,"wild"
"Aves",396.25,"small",16.4,"wild"
"Aves",384.8,"medium",20,"unknown"
"Aves",294,"small",16.7,"wild"
"Aves",1041.2,"medium",69,"captivity"
"Aves",544.5,"small",16.8,"captivity"
"Aves",472.7,"medium",19.2,"wild"
"Aves",645,"small",22.5,"wild"
"Aves",534,"small",21.8,"wild"
"Aves",453.5,"large",23.8,"wild"
"Aves",520,"medium",25,"wild"
"Aves",536.75,"medium",19.8,"wild"
"Aves",550,"small",NA,"unknown"
"Aves",418,"small",14.5,"wild"
"Aves",80.8,"small",26.2,"captivity"
"Aves",99.1,"medium",16.1,"wild"
"Aves",272,"tiny",36,"captivity"
"Aves",78.5,"small",NA,"unknown"
"Aves",159.7,"medium",17.9,"wild"
"Aves",105,"medium",14.6,"wild"
"Aves",183,"large",19.9,"wild"
"Aves",130,"small",17.4,"wild"
"Aves",70.3,"small",19.2,"wild"
"Aves",84.4,"medium",17.9,"wild"
"Aves",177,"medium",20,"captivity"
"Aves",159,"medium",10,"wild"
"Aves",178,"medium",21.7,"wild"
"Aves",211.5,"medium",24.4,"wild"
"Aves",277.8,"medium",20.3,"captivity"
"Aves",195,"small",7,"captivity"
"Aves",126.65,"medium",22.2,"wild"
"Aves",170,"tiny",NA,"unknown"
"Aves",80.675,"medium",20.2,"wild"
"Aves",343,"small",24,"wild"
"Aves",283.5,"large",24.2,"wild"
"Aves",400,"medium",19.6,"wild"
"Aves",41.5,"tiny",4.8,"wild"
"Aves",8.8,"medium",9.7,"wild"
"Aves",82.25,"small",7.9,"wild"
"Aves",19,"small",NA,"unknown"
"Aves",16.5,"medium",10,"wild"
"Aves",12.5,"medium",6.5,"wild"
"Aves",13.4,"medium",4.1,"wild"
"Aves",20,"medium",9,"wild"
"Aves",15.2,"medium",7.1,"wild"
"Aves",19.6,"medium",7,"wild"
"Aves",48.8,"medium",10.6,"wild"
"Aves",25.6,"medium",6.1,"wild"
"Aves",29.7,"medium",13.2,"wild"
"Aves",19.9,"medium",6.8,"wild"
"Aves",28.4,"medium",11,"wild"
"Aves",18.4,"medium",12.2,"wild"
"Aves",12,"large",6,"captivity"
"Aves",14.25,"small",NA,"unknown"
